station,city,state,country,data_source,longitude,latitude,data_type,ts,aqius,aqicn,pm25,pm10,tp,tp_min,hu,pr,ws,wd,pop,ic,hour,date,weekday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 03:00:00+00:00,158.0,89.0,66.0,,12,,35,1020,0.5,70,0,01d,3,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 04:00:00+00:00,134.0,68.0,49.0,,12,,35,1019,0.69,30,0,01n,4,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 05:00:00+00:00,102.0,51.0,36.0,,13,,35,1019,0.78,29,0,02n,5,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 06:00:00+00:00,77.0,33.0,23.0,,13,,34,1018,0.95,11,0,01n,6,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 07:00:00+00:00,86.0,40.0,28.0,,13,,34,1019,1.15,15,0,01n,7,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 08:00:00+00:00,81.0,36.0,25.0,,14,,33,1019,1.16,23,0,01n,8,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 09:00:00+00:00,81.0,36.0,25.0,,14,,32,1019,1.05,24,0,01n,9,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 10:00:00+00:00,82.0,37.0,26.0,,14,,32,1019,1.03,14,0,01n,10,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 11:00:00+00:00,81.0,36.0,25.0,,15,,31,1019,1.04,0,0,01n,11,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 12:00:00+00:00,97.0,49.0,34.0,,16,,31,1019,1.06,344,0,01n,12,2024-10-29,Tuesday
