station,city,state,country,data_source,longitude,latitude,data_type,ts,aqius,aqicn,pm25,pm10,tp,tp_min,hu,pr,ws,wd,pop,ic,hour,date,weekday,comment
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-10-31 06:00:00+00:00,68.0,26.0,18.0,,21,,16,1019,2.1,278,0,01d,6,2024-10-31,Thursday,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-10-31 05:00:00+00:00,90.0,43.0,30.0,,20,,17,1020,1.78,268,0,01d,5,2024-10-31,Thursday,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-10-31 04:00:00+00:00,170.0,110.0,83.0,,19,,20,1020,1.21,244,0,01d,4,2024-10-31,Thursday,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-10-31 03:00:00+00:00,178.0,124.0,94.0,,17,,23,1021,0.62,178,0,01d,3,2024-10-31,Thursday,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-10-31 00:00:00+00:00,110.0,55.0,39.0,,15,,29,1021,0.62,122,0,01d,0,2024-10-31,Thursday,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-10-30 23:00:00+00:00,119.0,60.0,43.0,,12,,35,1020,0.48,72,0,01d,23,2024-10-30,Wednesday,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-10-30 22:00:00+00:00,147.0,74.0,54.0,,12,,36,1019,0.66,29,0,01n,22,2024-10-30,Wednesday,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-10-30 21:00:00+00:00,124.0,63.0,45.0,,12,,35,1019,0.75,29,0,02n,21,2024-10-30,Wednesday,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-10-30 20:00:00+00:00,160.0,93.0,69.0,,13,,35,1018,0.92,9,0,01n,20,2024-10-30,Wednesday,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-10-30 19:00:00+00:00,115.0,58.0,41.0,,13,,34,1019,1.13,14,0,01n,19,2024-10-30,Wednesday,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-10-30 18:00:00+00:00,152.0,78.0,57.0,,14,,33,1019,1.15,22,0,01n,18,2024-10-30,Wednesday,
