station,city,state,country,data_source,longitude,latitude,data_type,ts,aqius,aqicn,pm25,pm10,tp,tp_min,hu,pr,ws,wd,pop,ic,hour,date,weekday,aqi_level,aqi_color,comment
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 21:00:00+00:00,110.0,55.0,39.0,,15,,32,1019,0.81,288,0,01n,21,2024-11-02,Saturday,Unhealthy for Sensitive Groups,#FF9933,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 20:00:00+00:00,160.0,93.0,69.0,,15,,31,1019,0.91,270,0,01n,20,2024-11-02,Saturday,Unhealthy,#FF3333,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 19:00:00+00:00,169.0,108.0,81.0,,16,,30,1019,0.96,266,0,01n,19,2024-11-02,Saturday,Unhealthy,#FF3333,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 18:00:00+00:00,181.0,130.0,99.0,,16,,29,1019,1.01,261,0,01n,18,2024-11-02,Saturday,Unhealthy,#FF3333,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 17:00:00+00:00,,,,,17,,28,1019,1.04,271,0,01n,17,2024-11-02,Saturday,Unknown,#000000,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 16:00:00+00:00,154.0,81.0,60.0,,17,,27,1019,1.14,274,0,01n,16,2024-11-02,Saturday,Unhealthy,#FF3333,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 15:00:00+00:00,154.0,81.0,60.0,,18,,27,1019,0.94,268,0,01n,15,2024-11-02,Saturday,Unhealthy,#FF3333,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 14:00:00+00:00,153.0,80.0,59.0,,18,,25,1019,1.38,278,0,01n,14,2024-11-02,Saturday,Unhealthy,#FF3333,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 13:00:00+00:00,69.0,27.0,19.0,,19,,24,1018,2.16,282,0,01n,13,2024-11-02,Saturday,Moderate,#FFCF01,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 12:00:00+00:00,69.0,27.0,19.0,,20,,22,1018,2.94,288,0,01n,12,2024-11-02,Saturday,Moderate,#FFCF01,
