rank,city,state,country,current_aqi,current_aqi_cn,updated
1,Delhi,Delhi,India,481,366,2024-11-02T23:00:00.000Z
2,Lahore,Punjab,Pakistan,383,317,2024-11-02T23:00:00.000Z
3,Kolkata,West Bengal,India,195,155,2024-11-02T23:00:00.000Z
4,Hanoi,Hanoi,Vietnam,183,133,2024-11-02T23:00:00.000Z
5,Beijing,Beijing,China,178,124,2024-11-02T23:00:00.000Z
6,Dhaka,Dhaka,Bangladesh,174,117,2024-11-02T23:00:00.000Z
7,Wuhan,Hubei,China,174,116,2024-11-02T23:00:00.000Z
8,Shanghai,Shanghai,China,167,104,2024-11-02T23:00:00.000Z
9,Mumbai,Maharashtra,India,164,98,2024-11-02T23:00:00.000Z
10,Dubai,Dubai,United Arab Emirates,156,85,2024-11-02T23:00:00.000Z
11,Sarajevo,Federation of B&H,Bosnia Herzegovina,153,80,2024-11-02T23:00:00.000Z
12,Kathmandu,Central Region,Nepal,152,77,2024-11-02T23:00:00.000Z
13,Kampala,Central Region,Uganda,134,68,2024-11-02T23:00:00.000Z
14,Jakarta,Jakarta,Indonesia,134,69,2024-11-02T23:00:00.000Z
15,Cairo,Cairo,Egypt,133,67,2024-11-02T23:00:00.000Z
16,Skopje,Skopje,North Macedonia,123,62,2024-11-02T23:00:00.000Z
17,Istanbul,Istanbul,Turkey,104,80,2024-11-02T23:00:00.000Z
18,Chongqing,Chongqing,China,101,51,2024-11-02T23:00:00.000Z
19,Tashkent,Toshkent Shahri,Uzbekistan,99,50,2024-11-02T23:00:00.000Z
20,Guangzhou,Guangdong,China,94,46,2024-11-02T23:00:00.000Z
21,Kuwait City,Al Asimah,Kuwait,88,41,2024-11-02T23:00:00.000Z
22,Tehran,Tehran,Iran,87,41,2024-11-02T23:00:00.000Z
23,Tel Aviv-Yafo,Tel Aviv,Israel,87,62,2024-11-02T23:00:00.000Z
24,Hangzhou,Zhejiang,China,86,46,2024-11-02T23:00:00.000Z
25,Athens,Attica,Greece,86,41,2024-11-02T23:00:00.000Z
26,Birmingham,England,United Kingdom,85,39,2024-11-02T23:00:00.000Z
27,Algiers,Algiers,Algeria,84,39,2024-11-02T23:00:00.000Z
28,Lisbon,Lisbon,Portugal,82,37,2024-11-02T23:00:00.000Z
29,Chengdu,Sichuan,China,82,36,2024-11-02T23:00:00.000Z
30,Shenzhen,Guangdong,China,82,42,2024-11-02T23:00:00.000Z
31,Kaohsiung,Kaohsiung,Taiwan,81,53,2024-11-02T23:00:00.000Z
32,Karachi,Sindh,Pakistan,80,35,2024-11-02T23:00:00.000Z
33,Wrocław,Lower Silesia,Poland,80,45,2024-11-02T23:00:00.000Z
34,Ho Chi Minh City,Ho Chi Minh City,Vietnam,80,35,2024-11-02T23:00:00.000Z
