source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,latitude,longitude
25455252,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,n2o,,,field_not_modeled,1320,MW,0.49,5.669e+06,MWh,,,Sahiwal power station,coal,30.7142,73.238
25455252,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2,1.3783e+07,2.431,T of CO2 per MWh,1320,MW,0.49,5.669e+06,MWh,,,Sahiwal power station,coal,30.7142,73.238
25455252,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,ch4,,,field_not_modeled,1320,MW,0.49,5.669e+06,MWh,,,Sahiwal power station,coal,30.7142,73.238
25455252,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2e_20yr,1.3783e+07,,,1320,MW,0.49,5.669e+06,MWh,,,Sahiwal power station,coal,30.7142,73.238
25455252,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2e_100yr,1.3783e+07,,,1320,MW,0.49,5.669e+06,MWh,,,Sahiwal power station,coal,30.7142,73.238
25455252,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,n2o,,,field_not_modeled,1320,MW,0.324,3.743e+06,MWh,,,Sahiwal power station,coal,30.7142,73.238
25455252,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2,9.101e+06,2.431,T of CO2 per MWh,1320,MW,0.324,3.743e+06,MWh,,,Sahiwal power station,coal,30.7142,73.238
25455252,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,ch4,,,field_not_modeled,1320,MW,0.324,3.743e+06,MWh,,,Sahiwal power station,coal,30.7142,73.238
25455252,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_20yr,9.101e+06,,,1320,MW,0.324,3.743e+06,MWh,,,Sahiwal power station,coal,30.7142,73.238
25455252,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_100yr,9.101e+06,,,1320,MW,0.324,3.743e+06,MWh,,,Sahiwal power station,coal,30.7142,73.238
